,一致性系数(%),决策熵(bit),平均决策时间(ms),决策速度(步/秒),战术成功率(%),Elo等级分
Q-learning v4.2,3.575,5.862157942633064,0.01479999627918005,67567.58455451463,4.0,740.9491634838233
DQT(Q-learning+Heuristic) v5.2,100.0,-1.4428232973175173e-12,1.4139999984763563,707.2135792627593,100.0,1690.848501887865
DQN v6.1,100.0,-1.4428232973175173e-12,1.7966499872272834,556.5914380147411,6.5,1499.1314092266264
Double DQN v7.0,100.0,-1.4428232973175173e-12,1.7719500028761104,564.3500089601101,9.0,1298.5664298459408
